Data Atual,,12/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173111.50,173215.69,173356.03,173623.83,173934.12,174149.93,174127.48,174577.72,175608.72,155608.72,155463.27,155414.68,155637.42,155849.46,156400.80,156207.74,156604.69,156500.23,156460.44,157207.89,139330.73,139299.39,139156.45,139569.01,139796.02,140060.35,140334.10,141106.27,141323.16,141512.26,141664.82,141274.80,142374.60,152405.25,162475.67,162604.59,162953.63,162966.21,163373.64,163823.28,163803.74,163698.58,164072.70,164679.06,164722.57,165237.42,165981.91,166195.81,166280.50,166409.75,167074.71,167378.87,146962.75,147055.85,146946.23,146958.76,146918.53,147764.85,147632.54,147040.67,147786.17,148143.00,148134.71,148446.98,148436.75,148931.46,149124.41,148992.52,149806.42,150719.31,151241.23,151273.62,129274.97,129441.64,129264.12,129523.84,129462.58,129866.87,130010.33,130192.22,130624.20,130642.66,130688.11,130817.64,131054.03,131381.49,131588.17,131943.71,131820.86,132173.63,132282.49,132590.46,132702.72,133156.20,133049.11,132955.42,133040.99,133461.89,133161.14,133175.32,132503.88,129778.60,129429.72,170319.32,170989.20,166995.39,160309.48,149232.61,142227.61,149057.95,145275.29,149172.69,150727.96,154157.37,154971.98,153303.93,152674.00,153583.69,154075.46,155735.24,156507.15,158092.21,,,,,,,,,,,,
ITAU EXCELLENCE REF DI,FUNDO RF,ITAU,05/03/2018,,, R$ 5050.00 , R$ 9996.99 ,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050.14,5051.32,5064.86,5070.39,5071.37,5074.36,5075.32,5077.28,5081.15,5083.10,5086.82,5088.68,5094.29,5095.23,5097.10,11098.07,11100.25,11103.13,11104.54,11105.94,11107.58,11109.12,11117.40,11122.36,11129.29,11133.94,11145.06,11155.00,11176.68,11178.68,11186.54,11190.49,11202.47,11210.39,11212.41,11245.97,11250.03,11254.10,11260.21,11262.22,11264.25,11266.29,11276.49,11286.68,11296.89,11305.04,11315.28,11352.49,11352.49,11367.40,11369.49,11380.05,11401.06,11417.94,11420.09,11426.42,11437.00,11441.23,11453.91,11472.92,11475.03,11479.29,11518.43,11539.94,11546.38,11557.15,11572.25,11578.74,11587.49,11589.67,11600.74,11620.13,11642.25,11646.68,11673.18,11684.28,11702.06,11713.46,11742.49,11749.24,11758.23,11764.94,11773.86,11776.10,11789.49,11800.65,11809.55,11816.30,11820.76,11832.03,11843.28,10753.60,10757.68,10761.75,10763.81,10775.69,10781.35,10787.00,10790.78,10811.14,10816.81,10822.52,10828.59,10830.48,10846.56,10848.30,10856.99,10865.72,10886.34,10889.29,10893.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,3.86%,0.000%,0,0.00,2.18,0.08%,,,,,,
CDB-DI,RF,ITAU,08/03/2019,,, R$ 10000.00 , R$ 10000.00 ,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.00,10013.49,10026.76,10046.88,10056.29,10080.81,10086.49,10094.05,10099.73,10107.31,10109.20,10120.59,10130.09,10137.70,10143.40,10147.22,10156.75,10166.29,10175.84,10179.67,10183.49,10185.41,10196.47,10201.78,10207.11,10210.66,10230.20,10243.14,10248.65,10254.17,10256.01,10271.68,10273.37,10281.84,10290.31,10310.68,10313.92,10318.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,2.51%,0.000%,0,0.00,0.00,,,,,,,
ITAU Person REF DI P,FUNDO RF,ITAU,28/12/2017,,, R$ 15000.00 , R$ 10000.00 ,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.00,25029.94,25054.52,25060.34,25080.64,25090.03,25101.66,25121.16,25130.39,25148.04,25156.87,25183.46,25187.85,25196.72,25201.09,25210.06,25219.02,25223.49,25227.62,25232.12,25236.38,25254.29,25262.30,25275.21,25279.52,25301.06,25322.62,25369.75,25374.10,25391.15,25399.76,25425.78,25443.00,25447.38,10481.70,10485.28,10488.86,10494.42,10496.18,10505.01,10506.86,10516.12,10525.38,10534.64,10542.03,10551.32,10585.09,10585.09,10594.51,10596.36,10605.78,10624.53,10639.59,10641.48,10647.14,10656.54,10660.31,10671.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,2.69%,0.000%,0,0.00,0.00,#DIV/0!,,,,,,
PERSON BDR I FICFIA,FUNDO A‚ÍES,ITAU,02/03/2017,,, R$ 6830.00 , R$ 6830.00 ,822,6762.95,6708.46,6708.46,6786.27,6578.74,6619.68,6728.77,6728.77,6992.63,6973.30,6984.38,6886.10,6705.36,6741.80,6800.34,6800.34,6791.71,6791.71,6866.08,6918.39,6971.20,6971.20,6917.32,6994.76,7050.81,7216.47,7316.15,7374.08,7366.70,7370.59,7273.53,7271.97,7458.33,7419.19,7637.09,7691.05,7671.72,7594.89,7628.38,7679.06,7600.95,7591.71,7564.15,7397.73,7330.87,7383.81,7412.48,7522.11,7452.01,7357.85,7400.12,7377.58,7485.93,7560.34,7459.12,7446.25,7474.27,7390.61,7166.49,7297.09,7295.42,7339.94,7532.90,7657.22,7716.41,7835.80,7960.43,8301.57,8075.32,8107.90,8250.76,8295.33,8289.62,8368.27,8433.09,8488.91,8524.73,8528.36,8628.28,8487.68,8375.94,8516.48,9491.87,9491.87,9478.77,9354.78,9541.87,9243.36,8630.47,8463.29,8377.89,8258.67,8074.84,8425.33,8339.96,8302.13,8196.27,8185.95,7948.46,7689.57,7782.84,8012.51,8007.24,7902.81,7941.06,8019.00,8300.05,8452.82,8524.09,8497.93,8643.28,8799.24,8862.16,8774.61,8874.06,8912.70,8753.15,8682.37,8657.12,8679.85,8806.65,8766.97,8741.04,8788.35,8876.59,8735.59,8661.46,8768.97,8826.75,8873.96,8766.04,8870.20,8922.25,8732.97,9214.65,9247.17,9452.96,9584.34,9576.80,9627.04,9632.60,9343.34,9571.61,9557.84,9606.73,9655.97,9795.06,10226.31,10309.43,10448.38,10348.75,10279.38,10302.25,10265.65,10309.65,10196.73,10262.27,10183.34,10345.21,10362.66,10234.91,10386.12,10371.96,10498.41,10645.33,10660.73,10748.27,10803.83,10707.54,10686.03,10658.05,10931.15,11142.94,11096.31,11144.93,10180.90,9885.92,10528.63,10381.13,10487.98,9784.15,9744.71,8843.68,9914.22,10111.58,10631.42,10771.99,11221.73,11656.79,11836.75,11933.17,12160.01,11751.77,11661.37,11557.24,11398.76,17.00%,1.946%,0.003307858,106.85,38.25,-1.30%,,,,,,
SUPER PREMIUM RF,FUNDO RF,ITAU,30/08/2016,,, R$ 58343.45 , R$ 16400.00 ,948,61347.20,61389.86,61389.86,61482.18,61677.96,61981.96,42269.92,42269.92,42327.59,42539.29,42692.60,42742.52,42851.63,42899.92,42987.91,42987.91,43408.39,43408.39,43465.88,43511.00,43519.66,43519.66,43570.55,43590.63,43643.58,43704.62,43738.87,43777.14,43823.32,43832.46,43872.53,43901.43,43936.43,43947.23,44022.39,44076.87,44105.60,44214.40,44247.88,44256.39,44284.12,44293.73,44309.45,44341.49,44360.19,44398.45,44419.37,44473.66,44483.76,44504.12,44515.20,44533.47,44551.76,44560.64,44569.75,44576.80,44584.42,44618.29,44643.83,44670.83,44681.34,44717.54,44762.70,44853.08,44859.96,44882.99,44899.98,44929.99,44961.22,44966.69,45064.13,45085.08,45100.64,45129.36,45143.20,45152.30,45162.69,45203.20,45246.26,45290.11,45326.95,45369.95,45682.98,25682.98,25705.61,25710.74,25735.48,25784.74,25828.54,25833.96,25851.56,25876.95,25888.28,25919.96,18638.72,18642.75,18649.91,18705.85,18744.06,18756.05,18772.39,18799.26,18809.84,18826.57,18830.93,18845.20,18877.96,18899.59,18906.33,18949.22,18966.94,18994.98,19013.31,19061.03,19072.44,19085.36,19097.43,19113.53,19117.38,19141.40,19160.73,19177.17,19186.74,19194.84,19213.89,19232.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,4.33%,0.000%,0,0.00,4.36,0.09%,,,,,,
Bahia AM,FUNDO MM,ITAU,28/09/2017,,, R$ 20077.00 , R$ 20077.00 ,677,,,,,,,,,,,,,,,,,,,,,,20077.00,20099.65,20094.02,20147.20,20145.27,20042.68,19985.42,19974.72,19944.52,20082.10,20149.90,20096.22,20096.76,20077.03,20197.15,20256.74,20480.16,20469.92,20456.76,20536.97,20536.97,20561.10,20600.02,20614.85,20596.63,20707.57,20863.86,20863.86,20889.81,20937.91,20987.42,21017.76,21017.76,21051.39,21051.39,21032.76,21104.22,21213.77,21229.51,21290.88,21324.87,21376.14,21417.97,21405.97,21394.62,21461.53,21379.74,21354.39,21354.39,21285.01,21314.61,21311.13,21340.01,21362.62,21373.56,21373.56,21438.77,21446.54,21494.85,21479.06,21543.01,21645.41,21645.41,21671.75,21671.75,21672.29,21732.95,21754.49,21756.14,21830.11,21823.81,21812.39,21874.43,21865.47,21850.41,21803.99,21877.65,21978.69,22142.87,22204.64,22278.05,22330.05,22347.84,22412.33,22331.17,22513.03,22530.12,22491.20,22606.83,22699.54,22691.32,22690.44,22782.05,22757.77,22583.91,22701.85,22797.00,22808.24,22936.67,23015.57,23047.35,23040.83,23057.59,23138.12,23206.35,23206.50,23158.52,23131.17,23133.93,23232.14,23387.82,23395.08,23333.08,23337.29,23485.43,23345.59,23386.99,23386.99,23496.38,23532.00,23636.01,23616.77,23786.43,23864.45,23897.01,23858.84,23766.58,23692.39,23690.85,23632.30,23760.39,23760.39,23839.15,23884.55,23868.93,23868.93,23836.99,23836.99,23894.01,23975.49,24012.77,23970.39,23971.97,23990.72,24017.83,23978.64,24028.77,24021.71,24073.13,24032.58,24019.87,23910.48,24016.71,23973.46,23765.19,23748.87,23748.87,23847.31,23734.53,23233.81,22697.92,22169.61,22240.18,22208.38,22272.95,22313.36,22391.50,22258.33,22211.01,22263.38,22292.45,22313.33,22349.12,22415.34,22456.91,4.26%,4.211%,0.001793063,-112.78,64.49,0.08%,,,,,,
CARTEIRA A‚ÍES,A‚ïES,ITAU,01/11/2016,,, R$ 4088.28 , R$ 4088.28 ,905,3803.31,3770.36,3770.36,3741.29,3740.53,3765.32,4033.08,4033.08,3701.05,3695.86,3709.12,3722.37,3891.91,3909.13,4026.13,4026.13,4472.17,4472.17,4511.32,4326.07,4301.05,4301.05,4601.52,4538.64,4596.48,4557.45,4471.61,4358.33,4261.69,4362.78,4409.68,4302.87,4021.60,3944.08,3912.15,4047.25,4084.84,4364.97,4338.53,4321.34,4609.27,4591.96,4661.48,4494.68,4516.54,4632.61,4710.25,4875.42,4892.23,4892.34,4956.49,4934.95,5038.41,5060.26,4981.10,4874.04,4831.29,4784.37,4789.61,4739.25,4718.74,4696.83,4622.38,4782.10,4709.58,4733.26,4900.40,4619.70,4332.09,4218.27,3877.59,3899.26,3929.38,3918.41,3999.66,3970.62,4010.69,4072.76,4192.46,4250.70,4216.98,4353.83,4125.49,4125.49,4054.19,4059.86,4037.39,4100.32,4585.79,4601.76,4719.90,4663.88,4744.19,4891.28,4941.68,4923.86,4880.61,4966.81,5021.38,5156.00,5198.84,5405.33,5477.72,5591.71,5522.64,5298.83,5640.85,5442.21,5513.50,5573.79,5541.86,5274.45,5353.10,5284.57,5099.51,5230.31,5210.72,5374.81,5383.24,5408.53,5479.99,5568.82,5555.71,5548.14,5741.25,5804.07,5756.68,5781.30,5709.69,5678.89,5839.90,5909.63,5790.64,5717.48,5785.28,5798.68,5651.35,5778.39,5790.14,5854.10,5854.01,5745.58,5899.42,5958.85,6138.62,6150.61,6111.76,5998.11,5985.40,6023.28,6111.38,6270.58,6317.23,6371.63,6510.78,6672.79,6673.05,6792.42,6836.45,6927.48,6983.43,6976.13,6976.23,7116.61,7084.30,7044.12,7128.69,7247.12,7191.71,7011.89,6977.39,7207.50,6834.65,7001.66,6389.44,6146.72,6287.93,6405.16,6503.14,5231.11,4424.89,4349.49,3812.97,4183.43,4172.30,4555.57,4558.49,4903.02,4837.84,4716.06,4656.10,4746.82,4859.33,5025.50,5181.86,5362.32,7.85%,1.228%,0.00096325,-1272.03,-69.07,2.08%,,,,,,
EQUITAS SELECTION,A‚ïES,ITAU,03/03/2020,,, R$ 40000.00 , R$ 40000.00 ,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.00,40000.00,37415.80,34332.58,26594.56,22055.53,25695.09,22102.84,24664.02,25574.55,27086.17,27222.48,25613.36,24591.42,25052.35,25803.67,27066.63,27606.73,28884.86,-69.03%,0.000%,0,-2584.20,0.00,#DIV/0!,,,,,,
ABSOLUTE VERTEX FIC,FUNDO MM,ITAU,07/03/2019,,, R$ 35000.00 , R$ 35000.00 ,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,35000.00,35000.00,34735.85,34772.72,34843.49,35053.64,35189.58,35255.05,35251.86,35471.01,35641.38,35666.16,35684.86,35862.82,35801.99,35878.32,35861.36,35903.75,35983.67,35916.68,35881.16,35805.11,35805.89,35564.04,35901.66,35831.27,35649.57,35793.04,35833.76,35858.20,35874.25,35874.25,35874.77,35978.05,36082.25,36282.43,36598.14,36734.76,36649.92,36647.85,36682.03,36584.07,36682.60,36649.40,36730.41,36730.41,36747.61,36837.03,36845.10,36845.10,36976.39,36976.39,37045.92,37077.87,37232.29,37124.76,37157.13,37142.94,37315.09,37335.62,37388.31,37397.63,37407.58,37492.65,37521.74,37597.16,37666.81,37592.49,36959.13,37035.68,37035.68,37274.46,37269.98,36745.52,36384.80,36414.76,36522.39,36519.10,36659.64,36757.43,36960.79,37088.58,37139.91,37431.92,37286.47,37118.19,37126.62,37120.09,37171.08,4.85%,6.604%,0.003205458,-4.48,,,,,,,,
Tesouro Selic 2017 (LFT),,XP,27/02/2015,,, R$ 33412.63 , R$ -   ,1326,41623.06,41622.43,41621.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,4.26%,0.000%,0,0.00,0.00,#DIV/0!,notional,qtde,valor,venc,contr,DU
Tesouro Prefixado 2023 (LTN),RF,XP,08/03/2017,,01/01/2023, R$ 41622.43 , R$ 41622.43 ,818,,,,41275.78,41703.24,41865.46,42460.98,42460.98,40094.23,41612.63,42147.50,42214.73,43468.61,43766.00,44166.43,44166.43,44783.14,44783.14,45124.37,45147.03,45267.59,45267.59,45267.59,44766.33,45019.15,45396.92,45144.10,44457.24,44460.17,44248.26,44832.09,44738.56,44438.25,44659.65,44801.40,44983.35,45301.93,46210.19,46319.80,46254.04,46146.62,46739.22,46789.64,46362.91,46791.10,46899.97,46899.97,47390.27,47449.46,47798.00,47941.22,47868.88,47881.30,47835.27,48020.14,47890.07,48032.56,48415.45,48406.68,48393.53,48451.98,48200.62,48305.84,48450.52,48467.33,48148.74,47776.81,47380.78,46921.16,46978.16,44835.02,45406.42,45315.09,45796.62,45704.55,45964.68,46227.00,46282.53,46507.59,47183.49,47314.28,47312.82,45914.26,45914.26,45484.61,45484.61,45567.18,46878.78,48879.44,48953.97,49877.58,49877.58,50694.50,50608.28,50711.31,51147.53,51147.53,51794.93,52473.02,52771.88,52722.92,53015.93,53225.64,53675.02,53750.29,53315.52,53775.13,53670.64,53702.79,54210.63,54352.38,54171.90,54425.45,54963.25,55014.40,54862.41,55281.83,55867.12,55995.73,56936.87,57469.55,57988.35,57786.67,58011.00,58578.02,58900.99,58859.34,59078.55,58955.79,59065.40,58832.31,59120.93,59090.24,59101.20,58949.95,59252.46,59260.50,59397.14,59397.14,60149.03,60163.64,60436.92,61189.54,61700.30,61831.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,12.97%,0.000%,0,0.00,75.27,0.84%, R$ 41622.43 ,73.07, R$ 73070.00 ,01/01/2023,08/03/2017,1460
